fichier,format,prompt
lyophiliser-oursin-plateau.webp,800x600 (ar 4:3),"Freeze-dried sea urchin neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oursin-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried sea urchin rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-crevette-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw prawn, on the right the freeze-dried prawn with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-crevette-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried prawn, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-crevette-plateau.webp,800x600 (ar 4:3),"Freeze-dried prawn neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-crevette-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried prawn rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-saint-jacques-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw scallop, on the right the freeze-dried scallop with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-saint-jacques-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried scallop, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-saint-jacques-plateau.webp,800x600 (ar 4:3),"Freeze-dried scallop neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-saint-jacques-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried scallop rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-wakame-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw wakame seaweed, on the right the freeze-dried wakame seaweed with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-wakame-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried wakame seaweed, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-wakame-plateau.webp,800x600 (ar 4:3),"Freeze-dried wakame seaweed neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-wakame-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried wakame seaweed rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-spiruline-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw spirulina, on the right the freeze-dried spirulina with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-spiruline-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried spirulina, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-spiruline-plateau.webp,800x600 (ar 4:3),"Freeze-dried spirulina neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-spiruline-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried spirulina rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chlorella-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw chlorella algae, on the right the freeze-dried chlorella algae with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chlorella-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried chlorella algae, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chlorella-plateau.webp,800x600 (ar 4:3),"Freeze-dried chlorella algae neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chlorella-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried chlorella algae rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-encornet-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw squid, on the right the freeze-dried squid with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-encornet-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried squid, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-encornet-plateau.webp,800x600 (ar 4:3),"Freeze-dried squid neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-encornet-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried squid rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-coproduits-poisson-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw fish trimmings, on the right the freeze-dried fish trimmings with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-coproduits-poisson-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried fish trimmings, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-coproduits-poisson-plateau.webp,800x600 (ar 4:3),"Freeze-dried fish trimmings neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-coproduits-poisson-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried fish trimmings rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fraise-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw strawberry, on the right the freeze-dried strawberry with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fraise-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried strawberry, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fraise-plateau.webp,800x600 (ar 4:3),"Freeze-dried strawberry neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fraise-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried strawberry rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-framboise-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw raspberry, on the right the freeze-dried raspberry with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-framboise-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried raspberry, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-framboise-plateau.webp,800x600 (ar 4:3),"Freeze-dried raspberry neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-framboise-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried raspberry rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-myrtille-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw blueberry, on the right the freeze-dried blueberry with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-myrtille-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried blueberry, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-myrtille-plateau.webp,800x600 (ar 4:3),"Freeze-dried blueberry neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-myrtille-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried blueberry rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-banane-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw banana, on the right the freeze-dried banana with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-banane-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried banana, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-banane-plateau.webp,800x600 (ar 4:3),"Freeze-dried banana neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-banane-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried banana rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-mangue-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw mango, on the right the freeze-dried mango with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-mangue-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried mango, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-mangue-plateau.webp,800x600 (ar 4:3),"Freeze-dried mango neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-mangue-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried mango rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pomme-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw apple, on the right the freeze-dried apple with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pomme-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried apple, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pomme-plateau.webp,800x600 (ar 4:3),"Freeze-dried apple neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pomme-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried apple rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-tomate-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw tomato, on the right the freeze-dried tomato with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-tomate-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried tomato, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-tomate-plateau.webp,800x600 (ar 4:3),"Freeze-dried tomato neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-tomate-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried tomato rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-betterave-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw beetroot, on the right the freeze-dried beetroot with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-betterave-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried beetroot, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-betterave-plateau.webp,800x600 (ar 4:3),"Freeze-dried beetroot neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-betterave-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried beetroot rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-epinard-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw spinach, on the right the freeze-dried spinach with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-epinard-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried spinach, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-epinard-plateau.webp,800x600 (ar 4:3),"Freeze-dried spinach neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-epinard-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried spinach rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-champignon-paris-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw button mushroom, on the right the freeze-dried button mushroom with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-champignon-paris-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried button mushroom, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-champignon-paris-plateau.webp,800x600 (ar 4:3),"Freeze-dried button mushroom neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-champignon-paris-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried button mushroom rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cepe-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw porcini mushroom, on the right the freeze-dried porcini mushroom with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cepe-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried porcini mushroom, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cepe-plateau.webp,800x600 (ar 4:3),"Freeze-dried porcini mushroom neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cepe-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried porcini mushroom rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-truffe-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw black truffle, on the right the freeze-dried black truffle with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-truffe-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried black truffle, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-truffe-plateau.webp,800x600 (ar 4:3),"Freeze-dried black truffle neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
